Origin,Destination,Vagon,Class,DBD,Bookings
NYP,BAL,P,5,4,1
NYP,BAL,P,5,23,1
NYP,BAL,Z,1,0,1
NYP,BAL,Z,2,1,3
NYP,BAL,Z,2,2,1
NYP,BAL,Z,3,4,1
NYP,BAL,Z,4,1,1
NYP,BAL,Z,4,7,1
NYP,BAL,Z,4,8,1
NYP,BAL,Z,4,11,1
NYP,BAL,Z,5,14,1
NYP,BAL,Z,5,16,2
NYP,BAL,Z,5,18,1
NYP,BAL,Z,6,28,1
NYP,BAL,Z,7,39,4
NYP,BAL,Z,8,40,6
NYP,BAL,Z,8,42,1
NYP,BAL,Z,8,64,1
NYP,BAL,Z,8,65,1
NYP,BAL,Z,8,67,4
NYP,BAL,Z,8,72,3
NYP,BAL,Z,8,75,1
NYP,BAL,Z,8,103,1
NYP,BAL,Z,8,121,1
NYP,BWI,P,2,2,1
NYP,BWI,P,2,3,1
NYP,BWI,P,4,9,1
NYP,BWI,P,5,13,1
NYP,BWI,P,6,1,1
NYP,BWI,Z,1,0,1
NYP,BWI,Z,1,2,1
NYP,BWI,Z,2,2,1
NYP,BWI,Z,2,3,3
NYP,BWI,Z,3,1,1
NYP,BWI,Z,4,9,3
NYP,BWI,Z,5,15,1
NYP,BWI,Z,5,18,1
NYP,BWI,Z,5,46,1
NYP,BWI,Z,7,51,1
NYP,BWI,Z,8,54,2
NYP,BWI,Z,8,66,4
NYP,BWI,Z,8,77,1
NYP,BWI,Z,8,157,1
NYP,EWR,Z,6,0,1
NYP,EWR,Z,7,0,2
NYP,MET,Z,7,0,1
NYP,MET,Z,7,1,1
NYP,NCR,P,1,0,1
NYP,NCR,P,5,14,1
NYP,NCR,Z,2,2,1
NYP,NCR,Z,2,3,1
NYP,NCR,Z,3,4,2
NYP,NCR,Z,3,6,1
NYP,NCR,Z,4,7,1
NYP,NCR,Z,6,1,1
NYP,NCR,Z,6,25,1
NYP,NCR,Z,6,36,1
NYP,NCR,Z,7,38,1
NYP,NCR,Z,7,46,1
NYP,NCR,Z,8,68,1
NYP,NCR,Z,8,73,1
NYP,NCR,Z,8,76,1
NYP,NCR,Z,8,102,1
NYP,NWK,Z,8,0,1
NYP,PHL,P,2,0,2
NYP,PHL,P,6,2,2
NYP,PHL,P,6,6,3
NYP,PHL,Z,1,4,1
NYP,PHL,Z,2,0,1
NYP,PHL,Z,3,0,4
NYP,PHL,Z,3,1,2
NYP,PHL,Z,5,1,2
NYP,PHL,Z,5,2,2
NYP,PHL,Z,5,19,2
NYP,PHL,Z,6,1,6
NYP,PHL,Z,6,2,5
NYP,PHL,Z,6,3,6
NYP,PHL,Z,6,4,7
NYP,PHL,Z,6,6,1
NYP,PHL,Z,6,10,1
NYP,PHL,Z,7,1,7
NYP,PHL,Z,7,7,4
NYP,PHL,Z,8,64,2
NYP,PHL,Z,8,71,1
NYP,PHL,Z,8,104,3
NYP,PHL,Z,8,132,3
NYP,TRE,Z,3,0,1
NYP,TRE,Z,5,4,1
NYP,TRE,Z,6,1,1
NYP,TRE,Z,6,3,1
NYP,TRE,Z,7,1,1
NYP,WAS,P,4,7,2
NYP,WAS,P,5,16,1
NYP,WAS,P,8,56,2
NYP,WAS,Z,1,0,9
NYP,WAS,Z,1,1,1
NYP,WAS,Z,1,3,1
NYP,WAS,Z,1,5,1
NYP,WAS,Z,2,1,4
NYP,WAS,Z,2,2,5
NYP,WAS,Z,2,3,4
NYP,WAS,Z,3,1,7
NYP,WAS,Z,3,3,1
NYP,WAS,Z,3,4,2
NYP,WAS,Z,3,6,1
NYP,WAS,Z,4,1,3
NYP,WAS,Z,4,6,2
NYP,WAS,Z,4,7,6
NYP,WAS,Z,4,8,3
NYP,WAS,Z,4,10,1
NYP,WAS,Z,4,11,1
NYP,WAS,Z,5,4,1
NYP,WAS,Z,5,8,1
NYP,WAS,Z,5,14,1
NYP,WAS,Z,5,15,2
NYP,WAS,Z,5,16,3
NYP,WAS,Z,5,17,1
NYP,WAS,Z,5,18,4
NYP,WAS,Z,5,30,2
NYP,WAS,Z,6,0,1
NYP,WAS,Z,6,1,4
NYP,WAS,Z,6,25,6
NYP,WAS,Z,6,27,1
NYP,WAS,Z,6,28,2
NYP,WAS,Z,7,37,2
NYP,WAS,Z,7,38,3
NYP,WAS,Z,7,39,1
NYP,WAS,Z,7,43,1
NYP,WAS,Z,7,44,1
NYP,WAS,Z,7,45,1
NYP,WAS,Z,7,47,4
NYP,WAS,Z,7,48,2
NYP,WAS,Z,7,53,5
NYP,WAS,Z,7,148,4
NYP,WAS,Z,8,40,4
NYP,WAS,Z,8,41,5
NYP,WAS,Z,8,42,7
NYP,WAS,Z,8,53,7
NYP,WAS,Z,8,54,4
NYP,WAS,Z,8,56,4
NYP,WAS,Z,8,57,2
NYP,WAS,Z,8,62,1
NYP,WAS,Z,8,63,1
NYP,WAS,Z,8,64,1
NYP,WAS,Z,8,68,4
NYP,WAS,Z,8,72,1
NYP,WAS,Z,8,74,3
NYP,WAS,Z,8,77,1
NYP,WAS,Z,8,88,2
NYP,WAS,Z,8,89,1
NYP,WAS,Z,8,92,3
NYP,WAS,Z,8,98,2
NYP,WAS,Z,8,99,1
NYP,WAS,Z,8,106,2
NYP,WAS,Z,8,110,1
NYP,WAS,Z,8,124,3
NYP,WAS,Z,8,135,2
NYP,WAS,Z,8,139,2
NYP,WIL,P,1,0,1
NYP,WIL,P,8,71,1
NYP,WIL,Z,1,0,1
NYP,WIL,Z,2,1,1
NYP,WIL,Z,3,2,1
NYP,WIL,Z,3,4,1
NYP,WIL,Z,3,5,1
NYP,WIL,Z,4,7,3
NYP,WIL,Z,4,8,3
NYP,WIL,Z,4,11,1
NYP,WIL,Z,5,16,1
NYP,WIL,Z,7,46,1
NYP,WIL,Z,8,68,2
