Origin,Destination,Vagon,Class,Revenue
S1,S10,Z,4,25.0
S1,S17,P,4,148.0
S1,S2,Z,1,73.0
S1,S4,Z,1,46.0
S10,S12,Z,5,53.55
S10,S17,Z,5,72.0
S10,S20,Z,5,19.55
S10,S38,P,1,144.7
S10,S38,Z,1,123.0
S10,S46,Z,1,41.4
S10,S46,Z,4,26.0
S10,S6,Z,1,35.15
S11,S17,Z,8,9.0
S12,S17,Z,6,17.0
S12,S17,Z,8,10.0
S12,S38,P,1,58.0
S12,S38,Z,1,42.0
S12,S38,Z,5,25.0
S12,S38,Z,6,20.0
S12,S38,Z,8,10.0
S13,S1,Z,2,157.0
S13,S10,Z,2,172.0
S13,S33,Z,3,107.0
S13,S33,Z,4,93.0
S16,S19,P,1,196.5
S16,S20,P,1,292.0
S16,S22,Z,1,206.0
S16,S25,Z,4,45.05
S16,S25,Z,5,44.0
S16,S25,Z,6,31.0
S16,S26,Z,4,28.0
S16,S26,Z,5,25.0
S16,S31,P,1,254.0
S16,S31,P,3,189.0
S16,S31,Z,1,206.0
S16,S31,Z,2,146.0
S16,S31,Z,3,116.1
S16,S31,Z,4,120.0
S16,S33,P,1,244.0
S16,S33,Z,2,166.0
S16,S33,Z,3,146.0
S16,S33,Z,8,25.2
S16,S34,Z,2,146.0
S16,S38,Z,2,223.0
S16,S43,P,1,190.0
S16,S43,Z,4,68.85
S16,S45,Z,1,233.0
S16,S45,Z,2,182.0
S16,S45,Z,3,159.0
S16,S45,Z,5,88.4
S16,S46,Z,8,32.3
S19,S10,Z,1,167.0
S19,S12,P,1,260.0
S19,S20,Z,1,172.8
S19,S33,Z,1,141.0
S19,S33,Z,4,75.0
S19,S38,P,1,268.0
S19,S46,Z,1,240.0
S19,S46,Z,8,26.1
S2,S11,Z,4,31.0
S2,S12,P,2,89.0
S2,S12,P,4,73.0
S2,S12,P,6,51.0
S2,S12,Z,2,63.0
S2,S12,Z,4,41.65
S2,S12,Z,8,17.0
S2,S17,P,4,79.8
S2,S17,P,6,63.0
S2,S17,Z,1,84.0
S2,S17,Z,2,75.0
S2,S17,Z,4,57.0
S2,S17,Z,8,22.0
S2,S20,Z,8,9.0
S2,S38,P,1,108.0
S2,S38,Z,1,84.0
S2,S38,Z,4,62.0
S2,S38,Z,8,20.0
S20,S12,Z,1,58.0
S20,S12,Z,4,40.0
S20,S12,Z,8,10.0
S20,S17,Z,4,35.625
S20,S17,Z,8,18.0
S20,S38,Z,4,52.0
S20,S38,Z,8,18.0
S22,S10,Z,2,141.0
S22,S10,Z,4,98.6
S22,S2,Z,1,183.0
S22,S20,Z,4,122.0
S22,S23,Z,1,229.0
S22,S23,Z,2,162.0
S22,S4,P,1,246.0
S22,S4,Z,1,24.0
S22,S4,Z,8,24.0
S22,S46,Z,1,229.0
S22,S46,Z,2,163.0
S22,S46,Z,3,143.0
S23,S11,Z,5,28.05
S23,S12,Z,4,62.0
S23,S17,Z,2,106.0
S23,S20,Z,5,23.0
S23,S38,Z,1,128.25
S23,S38,Z,5,73.0
S25,S10,Z,3,162.0
S25,S11,Z,1,202.5
S25,S12,Z,3,160.0
S25,S13,P,3,128.0
S25,S13,Z,1,149.0
S25,S13,Z,2,117.0
S25,S13,Z,3,80.75
S25,S13,Z,7,41.0
S25,S13,Z,8,25.0
S25,S19,Z,3,95.0
S25,S19,Z,8,17.0
S25,S2,P,1,264.0
S25,S2,Z,1,166.94
S25,S20,Z,1,185.4
S25,S22,Z,2,98.0
S25,S22,Z,4,73.0
S25,S23,P,1,233.83
S25,S23,Z,6,72.98
S25,S30,P,3,101.18
S25,S30,Z,1,139.0
S25,S30,Z,3,87.0
S25,S31,P,1,127.03
S25,S31,P,2,141.0
S25,S31,Z,1,139.0
S25,S31,Z,2,108.0
S25,S31,Z,3,95.0
S25,S31,Z,4,62.05
S25,S31,Z,8,17.0
S25,S33,Z,1,179.0
S25,S33,Z,2,126.0
S25,S33,Z,3,112.0
S25,S33,Z,5,61.2
S25,S33,Z,8,21.0
S25,S34,P,7,70.0
S25,S34,Z,1,146.0
S25,S34,Z,3,81.0
S25,S34,Z,8,15.3
S25,S38,Z,1,209.0
S25,S38,Z,3,178.0
S25,S4,P,3,172.6
S25,S4,Z,1,214.2
S25,S4,Z,2,168.0
S25,S4,Z,7,54.15
S25,S43,Z,1,100.0
S25,S45,Z,1,155.0
S25,S45,Z,4,89.0
S25,S46,P,1,267.0
S25,S46,Z,1,258.0
S25,S46,Z,2,200.0
S25,S46,Z,3,143.58
S25,S46,Z,7,57.24
S25,S50,Z,2,122.4
S25,S50,Z,6,61.0
S25,S50,Z,8,23.0
S25,S9,Z,4,53.0
S26,S13,Z,8,29.0
S26,S19,Z,1,175.0
S26,S19,Z,7,37.8
S26,S2,Z,2,197.0
S26,S23,Z,1,223.0
S26,S30,Z,2,124.0
S26,S31,P,3,150.0
S26,S31,Z,1,175.0
S26,S31,Z,3,109.0
S26,S33,Z,5,78.64
S26,S43,Z,1,126.0
S26,S45,Z,1,194.0
S26,S46,Z,1,223.0
S26,S46,Z,8,33.0
S30,S10,Z,2,164.0
S30,S12,Z,1,207.0
S30,S17,Z,1,236.0
S30,S20,Z,2,204.0
S30,S22,P,1,106.0
S30,S22,Z,4,38.25
S30,S23,Z,1,206.0
S30,S33,Z,4,85.0
S30,S33,Z,8,19.0
S30,S38,P,1,268.0
S30,S4,Z,2,164.0
S30,S45,Z,4,74.0
S30,S46,Z,2,182.0
S30,S46,Z,3,160.0
S30,S46,Z,8,31.0
S30,S50,Z,2,117.9
S30,S50,Z,4,107.0
S31,S1,P,3,154.6
S31,S1,Z,1,189.9
S31,S1,Z,2,126.65
S31,S1,Z,3,132.0
S31,S1,Z,8,25.0
S31,S10,P,1,286.0
S31,S10,P,7,111.0
S31,S10,Z,1,231.0
S31,S10,Z,2,164.0
S31,S10,Z,3,143.0
S31,S10,Z,6,74.0
S31,S10,Z,7,56.0
S31,S10,Z,8,28.0
S31,S11,Z,1,221.0
S31,S11,Z,2,183.0
S31,S11,Z,3,160.0
S31,S12,P,1,285.0
S31,S12,Z,1,227.0
S31,S12,Z,2,183.0
S31,S12,Z,3,160.0
S31,S13,Z,2,70.0
S31,S17,Z,1,237.0
S31,S17,Z,3,160.0
S31,S2,Z,1,211.0
S31,S2,Z,3,160.0
S31,S20,P,1,264.0
S31,S20,Z,1,206.0
S31,S20,Z,2,173.85
S31,S20,Z,3,161.0
S31,S20,Z,4,150.0
S31,S23,Z,1,258.0
S31,S23,Z,8,31.0
S31,S33,P,1,198.0
S31,S33,Z,1,160.0
S31,S33,Z,4,86.0
S31,S33,Z,8,19.0
S31,S34,P,3,92.0
S31,S34,Z,1,108.0
S31,S38,Z,1,246.0
S31,S38,Z,3,137.7
S31,S4,Z,1,207.9
S31,S4,Z,3,143.0
S31,S4,Z,7,56.0
S31,S4,Z,8,28.0
S31,S46,P,1,319.0
S31,S46,P,3,237.0
S31,S46,P,6,143.0
S31,S46,Z,1,258.0
S31,S46,Z,2,182.0
S31,S46,Z,3,176.0
S31,S46,Z,4,137.0
S31,S46,Z,6,82.0
S31,S46,Z,7,62.0
S31,S46,Z,8,31.0
S31,S50,P,1,176.2
S31,S50,Z,1,185.0
S31,S50,Z,2,131.0
S31,S50,Z,3,114.0
S31,S50,Z,8,22.0
S31,S6,Z,1,213.0
S31,S6,Z,3,160.0
S33,S1,Z,1,86.0
S33,S1,Z,2,60.0
S33,S1,Z,4,49.0
S33,S10,Z,1,126.0
S33,S10,Z,2,89.0
S33,S10,Z,4,67.0
S33,S10,Z,8,15.0
S33,S12,P,1,206.0
S33,S12,Z,1,171.0
S33,S12,Z,2,163.0
S33,S12,Z,3,128.0
S33,S17,P,1,229.0
S33,S17,Z,1,174.6
S33,S17,Z,2,168.0
S33,S2,Z,1,123.0
S33,S20,P,1,154.0
S33,S20,Z,1,120.0
S33,S20,Z,2,110.0
S33,S20,Z,3,94.0
S33,S20,Z,4,80.0
S33,S23,Z,1,150.0
S33,S23,Z,3,93.0
S33,S23,Z,4,86.0
S33,S23,Z,8,18.0
S33,S38,P,1,254.0
S33,S38,P,3,218.0
S33,S38,Z,1,203.0
S33,S38,Z,2,149.6
S33,S38,Z,3,167.0
S33,S4,Z,1,100.99
S33,S4,Z,2,88.99
S33,S4,Z,3,78.0
S33,S4,Z,4,73.0
S33,S4,Z,6,34.0
S33,S4,Z,8,15.0
S33,S46,P,1,197.0
S33,S46,P,3,137.0
S33,S46,Z,1,159.0
S33,S46,Z,2,112.0
S33,S46,Z,3,98.0
S33,S46,Z,4,92.0
S33,S46,Z,8,19.0
S33,S50,Z,1,53.0
S33,S6,P,2,141.1
S33,S6,Z,1,120.0
S33,S6,Z,2,108.0
S34,S10,Z,1,184.0
S34,S10,Z,7,44.0
S34,S10,Z,8,22.0
S34,S11,Z,1,187.0
S34,S12,Z,1,202.0
S34,S17,Z,1,204.0
S34,S2,Z,4,114.3
S34,S20,P,1,223.0
S34,S20,Z,2,154.0
S34,S23,Z,7,52.0
S34,S23,Z,8,26.0
S34,S33,P,4,72.0
S34,S33,Z,1,0.0
S34,S33,Z,3,45.9
S34,S33,Z,4,51.0
S34,S33,Z,7,21.0
S34,S38,P,1,266.0
S34,S38,Z,3,173.0
S34,S4,Z,1,184.0
S34,S4,Z,8,22.0
S34,S46,P,1,269.0
S34,S46,Z,1,218.0
S34,S46,Z,2,154.0
S34,S46,Z,3,149.0
S34,S46,Z,5,97.0
S34,S46,Z,6,70.0
S34,S46,Z,7,52.0
S34,S46,Z,8,26.0
S34,S50,Z,1,134.0
S34,S6,Z,1,156.6
S36,S10,Z,8,34.0
S36,S11,Z,1,176.25
S36,S11,Z,2,208.0
S36,S12,Z,1,235.0
S36,S13,Z,1,231.0
S36,S16,Z,5,23.0
S36,S17,Z,1,275.0
S36,S19,Z,1,221.0
S36,S19,Z,2,141.3
