Origin,Destination,Vagon,Class,Revenue
NYP,BAL,P,5,159.0
NYP,BAL,Z,1,185.0
NYP,BAL,Z,2,165.0
NYP,BAL,Z,3,144.0
NYP,BAL,Z,4,124.0
NYP,BAL,Z,5,104.0
NYP,BAL,Z,6,74.0
NYP,BAL,Z,7,56.0
NYP,BAL,Z,8,28.0
NYP,BWI,P,2,220.0
NYP,BWI,P,4,179.0
NYP,BWI,P,5,159.0
NYP,BWI,P,6,129.0
NYP,BWI,Z,1,185.0
NYP,BWI,Z,2,165.0
NYP,BWI,Z,3,144.0
NYP,BWI,Z,4,105.5
NYP,BWI,Z,5,104.0
NYP,BWI,Z,7,56.0
NYP,BWI,Z,8,28.0
NYP,EWR,Z,6,32.4
NYP,EWR,Z,7,29.0
NYP,MET,Z,7,21.0
NYP,NCR,P,1,267.0
NYP,NCR,P,5,176.0
NYP,NCR,Z,2,183.0
NYP,NCR,Z,3,161.0
NYP,NCR,Z,4,124.2
NYP,NCR,Z,6,82.0
NYP,NCR,Z,7,62.0
NYP,NCR,Z,8,31.0
NYP,NWK,Z,8,9.9
NYP,PHL,P,2,152.0
NYP,PHL,P,6,89.0
NYP,PHL,Z,1,0.0
NYP,PHL,Z,2,114.0
NYP,PHL,Z,3,100.0
NYP,PHL,Z,5,72.0
NYP,PHL,Z,6,51.0
NYP,PHL,Z,7,38.0
NYP,PHL,Z,8,19.0
NYP,TRE,Z,3,80.0
NYP,TRE,Z,5,58.0
NYP,TRE,Z,6,41.0
NYP,TRE,Z,7,31.0
NYP,WAS,P,4,192.1
NYP,WAS,P,5,176.0
NYP,WAS,P,8,92.0
NYP,WAS,Z,1,206.0
NYP,WAS,Z,2,183.0
NYP,WAS,Z,3,161.0
NYP,WAS,Z,4,138.0
NYP,WAS,Z,5,115.0
NYP,WAS,Z,6,82.0
NYP,WAS,Z,7,62.0
NYP,WAS,Z,8,31.0
NYP,WIL,P,1,0.0
NYP,WIL,P,8,65.0
NYP,WIL,Z,1,133.2
NYP,WIL,Z,2,132.0
NYP,WIL,Z,3,115.0
NYP,WIL,Z,4,99.0
NYP,WIL,Z,5,83.0
NYP,WIL,Z,7,39.6
NYP,WIL,Z,8,22.0
