Origin,Destination,Vagon,Class,DBD,Bookings
S1,S10,Z,4,11,1
S1,S17,P,4,12,1
S1,S2,Z,1,0,1
S1,S4,Z,1,0,1
S10,S12,Z,5,11,1
S10,S17,Z,5,8,1
S10,S20,Z,5,7,1
S10,S38,P,1,34,2
S10,S38,Z,1,23,1
S10,S46,Z,1,62,1
S10,S46,Z,4,0,1
S10,S6,Z,1,22,2
S11,S17,Z,8,16,1
S12,S17,Z,6,1,1
S12,S17,Z,8,9,1
S12,S17,Z,8,16,1
S12,S38,P,1,30,1
S12,S38,Z,1,21,1
S12,S38,Z,1,23,2
S12,S38,Z,1,36,1
S12,S38,Z,5,0,4
S12,S38,Z,6,1,2
S12,S38,Z,6,4,1
S12,S38,Z,6,5,2
S12,S38,Z,6,6,1
S12,S38,Z,6,8,1
S12,S38,Z,8,2,1
S12,S38,Z,8,3,1
S12,S38,Z,8,11,2
S12,S38,Z,8,14,1
S12,S38,Z,8,15,1
S12,S38,Z,8,16,1
S12,S38,Z,8,17,1
S13,S1,Z,2,1,1
S13,S10,Z,2,4,1
S13,S33,Z,3,26,1
S13,S33,Z,4,13,1
S16,S19,P,1,75,1
S16,S20,P,1,27,1
S16,S22,Z,1,23,1
S16,S25,Z,4,4,1
S16,S25,Z,5,2,1
S16,S25,Z,5,4,1
S16,S25,Z,5,5,1
S16,S25,Z,6,13,1
S16,S26,Z,4,1,1
S16,S26,Z,5,5,1
S16,S26,Z,5,6,1
S16,S26,Z,5,8,1
S16,S31,P,1,3,1
S16,S31,P,3,12,2
S16,S31,Z,1,3,1
S16,S31,Z,2,16,1
S16,S31,Z,3,35,1
S16,S31,Z,4,13,1
S16,S33,P,1,92,2
S16,S33,Z,2,12,1
S16,S33,Z,2,13,1
S16,S33,Z,3,27,1
S16,S33,Z,8,238,1
S16,S34,Z,2,12,2
S16,S38,Z,2,13,1
S16,S43,P,1,4,1
S16,S43,Z,4,5,1
S16,S45,Z,1,5,1
S16,S45,Z,1,20,1
S16,S45,Z,2,13,1
S16,S45,Z,3,17,1
S16,S45,Z,5,33,1
S16,S46,Z,8,43,2
S19,S10,Z,1,66,2
S19,S12,P,1,34,1
S19,S20,Z,1,42,1
S19,S33,Z,1,0,1
S19,S33,Z,4,1,1
S19,S38,P,1,34,1
S19,S46,Z,1,1,1
S19,S46,Z,8,40,1
S2,S11,Z,4,1,1
S2,S12,P,2,0,1
S2,S12,P,4,4,1
S2,S12,P,4,6,1
S2,S12,P,6,13,1
S2,S12,Z,2,0,1
S2,S12,Z,4,2,2
S2,S12,Z,8,8,1
S2,S12,Z,8,13,1
S2,S12,Z,8,15,2
S2,S17,P,4,7,1
S2,S17,P,6,4,1
S2,S17,Z,1,0,2
S2,S17,Z,1,44,3
S2,S17,Z,1,55,1
S2,S17,Z,2,0,2
S2,S17,Z,4,2,1
S2,S17,Z,4,3,1
S2,S17,Z,4,4,2
S2,S17,Z,4,7,2
S2,S17,Z,8,3,1
S2,S17,Z,8,4,1
S2,S17,Z,8,11,1
S2,S17,Z,8,16,1
S2,S20,Z,8,8,1
S2,S20,Z,8,10,1
S2,S38,P,1,26,2
S2,S38,Z,1,2,1
S2,S38,Z,1,22,1
S2,S38,Z,1,49,1
S2,S38,Z,4,7,1
S2,S38,Z,8,8,1
S2,S38,Z,8,10,1
S2,S38,Z,8,11,1
S2,S38,Z,8,12,2
S2,S38,Z,8,13,1
S2,S38,Z,8,14,1
S2,S38,Z,8,15,3
S2,S38,Z,8,17,1
S20,S12,Z,1,34,1
S20,S12,Z,4,2,1
S20,S12,Z,8,15,1
S20,S17,Z,4,1,4
S20,S17,Z,8,1,1
S20,S17,Z,8,15,1
S20,S17,Z,8,17,1
S20,S38,Z,4,4,2
S20,S38,Z,8,6,1
S20,S38,Z,8,9,2
S22,S10,Z,2,1,1
S22,S10,Z,4,13,1
S22,S2,Z,1,23,1
S22,S20,Z,4,17,1
S22,S23,Z,1,0,1
S22,S23,Z,2,9,1
S22,S4,P,1,1,1
S22,S4,Z,1,118,1
S22,S4,Z,8,44,1
S22,S46,Z,1,6,1
S22,S46,Z,2,8,1
S22,S46,Z,3,15,1
S23,S11,Z,5,8,1
S23,S12,Z,4,7,1
S23,S17,Z,2,0,1
S23,S20,Z,5,4,1
S23,S38,Z,1,0,2
S23,S38,Z,5,4,1
S25,S10,Z,3,14,1
S25,S10,Z,3,27,1
S25,S10,Z,3,28,1
S25,S11,Z,1,5,1
S25,S12,Z,3,17,1
S25,S13,P,3,41,1
S25,S13,Z,1,2,1
S25,S13,Z,1,19,1
S25,S13,Z,2,13,1
S25,S13,Z,3,37,1
S25,S13,Z,3,38,1
S25,S13,Z,7,30,1
S25,S13,Z,8,46,1
S25,S13,Z,8,197,1
S25,S19,Z,3,15,1
S25,S19,Z,8,43,1
