Origin,Destination,Vagon,Class,Revenue
S1,S2,Z,4,47.0
S1,S41,P,2,135.0
S1,S41,Z,4,78.0
S1,S46,Z,4,47.0
S10,S2,Z,4,25.0
S10,S24,P,4,136.0
S10,S24,Z,4,96.0
S10,S24,Z,5,72.9
S10,S24,Z,8,22.0
S10,S41,Z,4,67.0
S10,S46,Z,4,25.0
S10,S46,Z,6,15.0
S10,S46,Z,8,5.5
S13,S10,Z,1,193.0
S13,S23,Z,1,214.0
S13,S24,Z,1,227.0
S13,S33,Z,1,136.0
S13,S33,Z,3,108.0
S13,S33,Z,8,27.0
S13,S4,P,2,228.0
S13,S46,Z,1,214.0
S13,S50,Z,1,163.0
S14,S24,Z,6,46.0
S14,S24,Z,7,25.5
S14,S41,Z,5,37.0
S14,S41,Z,6,26.0
S19,S23,Z,1,192.0
S19,S33,Z,1,0.0
S19,S41,Z,1,203.0
S19,S46,P,1,249.0
S19,S46,Z,1,192.0
S19,S46,Z,5,108.0
S19,S50,Z,1,0.0
S2,S14,Z,4,37.0
S2,S14,Z,5,31.0
S2,S24,Z,5,70.0
S2,S24,Z,6,50.0
S2,S24,Z,8,19.0
S2,S35,Z,8,20.0
S2,S41,Z,5,38.0
S2,S41,Z,6,27.0
S2,S41,Z,7,20.0
S2,S41,Z,8,10.0
S21,S25,Z,8,12.0
S21,S31,P,4,141.0
S21,S31,Z,4,98.0
S21,S31,Z,5,82.0
S21,S31,Z,7,44.0
S21,S43,Z,4,70.0
S25,S13,Z,1,119.0
S25,S13,Z,3,95.0
S25,S13,Z,5,52.5
S25,S31,P,3,120.0
S25,S31,Z,4,74.0
S25,S31,Z,5,62.0
S25,S33,Z,4,96.0
S25,S43,P,1,0.0
S25,S46,Z,1,206.0
S26,S25,Z,8,8.0
S26,S29,Z,5,66.0
S26,S31,Z,4,84.6
S26,S31,Z,5,78.0
S26,S31,Z,6,56.0
S30,S10,Z,1,185.0
S30,S14,Z,6,70.83333300000000
S30,S24,Z,8,31.0
S30,S33,Z,1,128.0
S30,S4,P,1,240.0
S30,S45,Z,1,19.0
S30,S46,Z,1,206.0
S30,S48,Z,1,206.0
S30,S50,Z,1,155.0
S31,S1,Z,1,169.0
S31,S1,Z,4,94.16666700000000
S31,S1,Z,5,49.0
S31,S1,Z,6,68.0
S31,S10,P,1,240.0
S31,S10,Z,1,185.0
S31,S10,Z,2,165.0
S31,S10,Z,3,144.0
S31,S10,Z,4,124.0
S31,S10,Z,5,104.0
S31,S10,Z,6,44.0
S31,S10,Z,7,50.4
S31,S13,Z,1,79.0
S31,S14,P,1,273.0
S31,S14,P,5,167.1
S31,S14,Z,1,213.0
S31,S2,P,1,264.0
S31,S2,P,2,231.85
S31,S2,P,5,173.0
S31,S2,Z,1,206.0
S31,S2,Z,2,183.0
S31,S2,Z,6,71.75
S31,S23,P,1,215.5
S31,S23,Z,1,206.0
S31,S23,Z,6,82.0
S31,S23,Z,8,29.0
S31,S24,Z,1,219.0
S31,S24,Z,2,185.25
S31,S24,Z,6,52.06666700000000
S31,S33,P,1,166.0
S31,S33,P,4,115.4
S31,S33,Z,1,128.0
S31,S33,Z,2,114.0
S31,S33,Z,3,100.0
S31,S33,Z,8,19.0
S31,S35,Z,1,215.0
S31,S37,Z,1,206.0
S31,S4,P,4,179.0
S31,S4,Z,1,185.0
S31,S4,Z,4,111.6
S31,S4,Z,5,98.8
S31,S41,P,1,275.0
S31,S41,Z,1,215.0
S31,S41,Z,2,191.0
S31,S41,Z,4,144.0
S31,S41,Z,5,120.0
S31,S41,Z,7,65.0
S31,S45,P,1,133.0
S31,S45,Z,1,103.0
S31,S46,P,1,267.0
S31,S46,P,4,199.0
S31,S46,Z,1,206.0
S31,S46,Z,2,183.0
S31,S46,Z,3,161.0
S31,S46,Z,4,138.0
S31,S46,Z,5,115.0
S31,S46,Z,6,82.0
S31,S46,Z,7,62.0
S31,S46,Z,8,31.0
S31,S48,Z,1,206.0
S31,S48,Z,5,111.16666700000000
S31,S48,Z,6,68.33333300000000
S31,S50,P,1,191.0
S31,S50,P,2,175.0
S31,S50,Z,1,155.0
S31,S50,Z,8,15.75
S32,S31,Z,4,88.0
S32,S31,Z,5,74.0
S32,S31,Z,7,33.333333000000003
S32,S43,Z,4,67.0
S33,S1,Z,3,54.0
S33,S10,P,5,58.0
S33,S10,Z,1,101.0
S33,S10,Z,3,79.0
S33,S10,Z,4,68.0
S33,S14,P,2,162.0
S33,S2,P,3,128.0
S33,S2,Z,3,94.0
S33,S2,Z,8,17.1
S33,S23,Z,2,107.0
S33,S24,Z,3,140.0
S33,S4,P,2,110.65
S33,S4,Z,1,101.0
S33,S4,Z,3,79.0
S33,S4,Z,4,68.0
S33,S41,Z,1,153.0
S33,S41,Z,3,119.0
S33,S41,Z,4,103.0
S33,S46,P,1,165.0
S33,S46,P,2,151.0
S33,S46,P,3,137.0
S33,S46,P,4,123.0
S33,S46,P,5,105.45
S33,S46,Z,1,127.0
S33,S46,Z,2,113.0
S33,S46,Z,3,99.0
