origem,destino,classe,periodo,demanda
1,2,1,1,70
1,2,1,2,82
1,2,1,3,61
1,2,1,4,95
1,2,1,5,86
1,2,1,6,26
1,2,1,7,82
1,2,1,8,52
1,2,1,9,7
1,2,1,10,16
1,2,1,11,58
1,2,1,12,33
1,2,1,13,92
1,2,1,14,96
1,2,1,15,92
1,2,1,16,17
1,2,1,17,84
1,2,1,18,28
1,2,1,19,62
1,2,1,20,79
1,2,1,21,62
1,2,1,22,32
1,2,1,23,81
1,2,1,24,90
1,2,1,25,57
1,2,1,26,57
1,2,1,27,63
1,2,1,28,43
1,2,1,29,56
1,2,1,30,36
1,2,1,31,73
1,2,1,32,83
1,2,1,33,12
1,2,1,34,21
1,2,1,35,16
1,2,1,36,32
1,2,1,37,61
1,2,1,38,23
1,2,1,39,94
1,2,1,40,46
1,2,1,41,30
1,2,1,42,39
1,2,1,43,18
1,2,1,44,7
1,2,1,45,78
1,2,1,46,54
1,2,1,47,70
1,2,1,48,19
1,2,1,49,84
1,2,1,50,83
1,2,1,51,7
1,2,1,52,7
1,2,1,53,96
1,2,1,54,59
1,2,1,55,30
1,2,1,56,69
1,2,1,57,48
1,2,1,58,78
1,2,1,59,28
1,2,1,60,6
1,2,2,1,67
1,2,2,2,90
1,2,2,3,66
1,2,2,4,10
1,2,2,5,64
1,2,2,6,17
1,2,2,7,81
1,2,2,8,41
1,2,2,9,83
1,2,2,10,39
1,2,2,11,13
1,2,2,12,86
1,2,2,13,51
1,2,2,14,27
1,2,2,15,73
1,2,2,16,49
1,2,2,17,33
1,2,2,18,34
1,2,2,19,32
1,2,2,20,51
1,2,2,21,92
1,2,2,22,41
1,2,2,23,35
1,2,2,24,46
1,2,2,25,35
1,2,2,26,27
1,2,2,27,64
1,2,2,28,56
1,2,2,29,61
1,2,2,30,69
1,2,2,31,79
1,2,2,32,49
1,2,2,33,5
1,2,2,34,71
1,2,2,35,98
1,2,2,36,18
1,2,2,37,18
1,2,2,38,32
1,2,2,39,20
1,2,2,40,51
1,2,2,41,54
1,2,2,42,85
1,2,2,43,56
1,2,2,44,6
1,2,2,45,91
1,2,2,46,56
1,2,2,47,66
1,2,2,48,43
1,2,2,49,69
1,2,2,50,59
1,2,2,51,48
1,2,2,52,14
1,2,2,53,33
1,2,2,54,71
1,2,2,55,39
1,2,2,56,9
1,2,2,57,29
1,2,2,58,59
1,2,2,59,83
1,2,2,60,82
1,2,3,1,75
1,2,3,2,10
1,2,3,3,16
1,2,3,4,4
1,2,3,5,47
1,2,3,6,1
1,2,3,7,88
1,2,3,8,32
1,2,3,9,60
1,2,3,10,77
1,2,3,11,30
1,2,3,12,19
1,2,3,13,74
1,2,3,14,95
1,2,3,15,44
1,2,3,16,18
1,2,3,17,20
1,2,3,18,35
1,2,3,19,97
1,2,3,20,60
1,2,3,21,54
1,2,3,22,97
1,2,3,23,8
1,2,3,24,14
1,2,3,25,42
1,2,3,26,44
1,2,3,27,7
1,2,3,28,86
1,2,3,29,60
1,2,3,30,20
1,2,3,31,48
1,2,3,32,20
1,2,3,33,36
1,2,3,34,64
1,2,3,35,60
1,2,3,36,92
1,2,3,37,24
1,2,3,38,89
1,2,3,39,65
1,2,3,40,52
1,2,3,41,61
1,2,3,42,58
1,2,3,43,42
1,2,3,44,2
1,2,3,45,27
1,2,3,46,54
1,2,3,47,78
1,2,3,48,44
1,2,3,49,1
1,2,3,50,40
1,2,3,51,99
1,2,3,52,7
1,2,3,53,57
1,2,3,54,90
1,2,3,55,90
1,2,3,56,47
1,2,3,57,60
1,2,3,58,53
1,2,3,59,82
1,2,3,60,24
1,2,4,1,43
1,2,4,2,8
1,2,4,3,59
1,2,4,4,30
1,2,4,5,22
1,2,4,6,43
1,2,4,7,57
1,2,4,8,3
1,2,4,9,91
1,2,4,10,35
1,2,4,11,89
1,2,4,12,74
1,2,4,13,48
1,2,4,14,55
1,2,4,15,20
1,2,4,16,11
1,2,4,17,51
1,2,4,18,28
1,2,4,19,92
1,2,4,20,56
1,2,4,21,72
1,2,4,22,36
1,2,4,23,55
1,2,4,24,97
1,2,4,25,38
1,2,4,26,97
1,2,4,27,55
1,2,4,28,53
1,2,4,29,69
1,2,4,30,38
1,2,4,31,97
1,2,4,32,57
1,2,4,33,74
1,2,4,34,50
1,2,4,35,20
1,2,4,36,64
1,2,4,37,78
1,2,4,38,42
1,2,4,39,75
1,2,4,40,3
1,2,4,41,20
1,2,4,42,47
1,2,4,43,32
1,2,4,44,15
1,2,4,45,9
1,2,4,46,5
1,2,4,47,59
1,2,4,48,10
1,2,4,49,55
1,2,4,50,61
1,2,4,51,75
1,2,4,52,55
1,2,4,53,49
1,2,4,54,43
1,2,4,55,95
1,2,4,56,84
1,2,4,57,8
1,2,4,58,25
1,2,4,59,51
1,2,4,60,24
1,2,5,1,52
1,2,5,2,42
1,2,5,3,72
