origem,destino,classe,periodo,demanda
1,2,1,61,65
1,2,1,62,61
1,2,1,63,43
1,2,1,64,88
1,2,1,65,86
1,2,1,66,20
1,2,1,67,57
1,2,1,68,97
1,2,1,69,36
1,2,1,70,91
1,2,1,71,53
1,2,1,72,43
1,2,1,73,18
1,2,1,74,8
1,2,1,75,47
1,2,1,76,59
1,2,1,77,10
1,2,1,78,11
1,2,1,79,64
1,2,1,80,15
1,2,1,81,85
1,2,1,82,92
1,2,1,83,32
1,2,1,84,79
1,2,1,85,68
1,2,1,86,33
1,2,1,87,50
1,2,1,88,45
1,2,1,89,2
1,2,1,90,72
1,2,1,91,95
1,2,1,92,34
1,2,1,93,24
1,2,1,94,25
1,2,1,95,11
1,2,1,96,79
1,2,1,97,97
1,2,1,98,64
1,2,1,99,45
1,2,1,100,75
1,2,1,101,69
1,2,1,102,30
1,2,1,103,77
1,2,1,104,23
1,2,1,105,95
1,2,1,106,2
1,2,1,107,58
1,2,1,108,69
1,2,1,109,56
1,2,1,110,63
1,2,1,111,96
1,2,1,112,78
1,2,1,113,82
1,2,1,114,11
1,2,1,115,30
1,2,1,116,12
1,2,1,117,65
1,2,1,118,50
1,2,1,119,55
1,2,1,120,64
1,2,2,61,28
1,2,2,62,45
1,2,2,63,90
1,2,2,64,29
1,2,2,65,9
1,2,2,66,64
1,2,2,67,71
1,2,2,68,45
1,2,2,69,52
1,2,2,70,21
1,2,2,71,48
1,2,2,72,28
1,2,2,73,4
1,2,2,74,3
1,2,2,75,77
1,2,2,76,38
1,2,2,77,40
1,2,2,78,99
1,2,2,79,49
1,2,2,80,36
1,2,2,81,34
1,2,2,82,18
1,2,2,83,87
1,2,2,84,34
1,2,2,85,73
1,2,2,86,27
1,2,2,87,10
1,2,2,88,15
1,2,2,89,50
1,2,2,90,45
1,2,2,91,85
1,2,2,92,84
1,2,2,93,18
1,2,2,94,48
1,2,2,95,49
1,2,2,96,54
1,2,2,97,29
1,2,2,98,91
1,2,2,99,79
1,2,2,100,53
1,2,2,101,62
1,2,2,102,92
1,2,2,103,26
1,2,2,104,84
1,2,2,105,55
1,2,2,106,12
1,2,2,107,44
1,2,2,108,66
1,2,2,109,58
1,2,2,110,18
1,2,2,111,50
1,2,2,112,75
1,2,2,113,51
1,2,2,114,15
1,2,2,115,45
1,2,2,116,37
1,2,2,117,53
1,2,2,118,34
1,2,2,119,99
1,2,2,120,69
1,2,3,61,19
1,2,3,62,79
1,2,3,63,97
1,2,3,64,92
1,2,3,65,51
1,2,3,66,80
1,2,3,67,38
1,2,3,68,74
1,2,3,69,18
1,2,3,70,25
1,2,3,71,26
1,2,3,72,49
1,2,3,73,47
1,2,3,74,58
1,2,3,75,3
1,2,3,76,63
1,2,3,77,50
1,2,3,78,85
1,2,3,79,80
1,2,3,80,13
1,2,3,81,33
1,2,3,82,37
1,2,3,83,17
1,2,3,84,14
1,2,3,85,31
1,2,3,86,40
1,2,3,87,82
1,2,3,88,33
1,2,3,89,82
1,2,3,90,9
1,2,3,91,29
1,2,3,92,8
1,2,3,93,91
1,2,3,94,66
1,2,3,95,80
1,2,3,96,8
1,2,3,97,79
1,2,3,98,67
1,2,3,99,17
1,2,3,100,41
1,2,3,101,13
1,2,3,102,17
1,2,3,103,42
1,2,3,104,86
1,2,3,105,60
1,2,3,106,86
1,2,3,107,40
1,2,3,108,93
1,2,3,109,19
1,2,3,110,21
1,2,3,111,20
1,2,3,112,74
1,2,3,113,37
1,2,3,114,58
1,2,3,115,49
1,2,3,116,79
1,2,3,117,42
1,2,3,118,38
1,2,3,119,13
1,2,3,120,78
1,2,4,61,79
1,2,4,62,23
1,2,4,63,55
1,2,4,64,29
1,2,4,65,21
1,2,4,66,37
1,2,4,67,33
1,2,4,68,63
1,2,4,69,81
1,2,4,70,37
1,2,4,71,7
1,2,4,72,53
1,2,4,73,52
1,2,4,74,54
1,2,4,75,74
1,2,4,76,6
1,2,4,77,3
1,2,4,78,94
1,2,4,79,49
1,2,4,80,61
1,2,4,81,95
1,2,4,82,31
1,2,4,83,7
1,2,4,84,65
1,2,4,85,1
1,2,4,86,68
1,2,4,87,30
1,2,4,88,95
1,2,4,89,54
1,2,4,90,87
1,2,4,91,77
1,2,4,92,60
1,2,4,93,18
1,2,4,94,98
1,2,4,95,22
1,2,4,96,8
1,2,4,97,54
1,2,4,98,41
1,2,4,99,41
1,2,4,100,54
1,2,4,101,18
1,2,4,102,50
1,2,4,103,92
1,2,4,104,59
1,2,4,105,58
1,2,4,106,92
1,2,4,107,19
1,2,4,108,69
1,2,4,109,42
1,2,4,110,99
1,2,4,111,92
1,2,4,112,18
1,2,4,113,54
1,2,4,114,9
1,2,4,115,70
1,2,4,116,64
1,2,4,117,48
1,2,4,118,17
1,2,4,119,11
1,2,4,120,80
1,2,5,61,6
1,2,5,62,78
1,2,5,63,53
1,2,5,64,45
1,2,5,65,23
1,2,5,66,27
1,2,5,67,33
1,2,5,68,94
1,2,5,69,42
1,2,5,70,45
1,2,5,71,96
1,2,5,72,18
1,2,5,73,32
1,2,5,74,6
1,2,5,75,64
1,2,5,76,85
1,2,5,77,82
1,2,5,78,16
1,2,5,79,60
1,2,5,80,67
1,2,5,81,30
1,2,5,82,33
1,2,5,83,83
1,2,5,84,46
1,2,5,85,48
1,2,5,86,1
1,2,5,87,23
1,2,5,88,1
1,2,5,89,62
1,2,5,90,53
1,2,5,91,72
1,2,5,92,10
1,2,5,93,86
1,2,5,94,82
1,2,5,95,27
1,2,5,96,53
1,2,5,97,20
1,2,5,98,28
1,2,5,99,14
1,2,5,100,15
1,2,5,101,65
1,2,5,102,31
1,2,5,103,23
1,2,5,104,15
1,2,5,105,54
1,2,5,106,13
1,2,5,107,83
1,2,5,108,61
1,2,5,109,51
1,2,5,110,30
1,2,5,111,91
1,2,5,112,5
1,2,5,113,63
1,2,5,114,72
1,2,5,115,64
1,2,5,116,91
1,2,5,117,86
1,2,5,118,81
1,2,5,119,11
1,2,5,120,38
1,2,6,61,41
1,2,6,62,67
1,2,6,63,93
1,2,6,64,37
1,2,6,65,72
1,2,6,66,27
1,2,6,67,10
1,2,6,68,61
1,2,6,69,10
1,2,6,70,53
1,2,6,71,92
1,2,6,72,60
1,2,6,73,46
1,2,6,74,6
1,2,6,75,80
1,2,6,76,37
1,2,6,77,61
1,2,6,78,61
1,2,6,79,29
1,2,6,80,18
1,2,6,81,86
1,2,6,82,60
1,2,6,83,57
