origem,destino,classe,preco
1,8,1,78
1,8,2,83
1,8,3,103
1,8,4,110
1,8,5,113
1,8,6,119
1,8,7,125
1,8,8,159
1,8,9,160
1,8,10,163
1,8,11,177
1,8,12,196
1,8,13,206
1,8,14,210
1,8,15,219
1,8,16,228
1,8,17,287
1,8,18,295
1,8,19,320
1,8,20,328
1,8,21,333
1,8,22,334
1,8,23,343
1,8,24,356
1,8,25,373
1,8,26,378
1,8,27,404
1,8,28,407
1,8,29,410
1,8,30,427
1,8,31,443
1,8,32,449
1,8,33,462
1,8,34,467
1,8,35,476
1,8,36,493
1,8,37,498
1,8,38,545
1,8,39,562
1,8,40,565
1,8,41,573
1,8,42,582
1,8,43,586
1,8,44,589
1,8,45,592
1,8,46,595
1,8,47,610
1,8,48,620
1,8,49,644
1,8,50,651
1,8,51,667
1,8,52,687
1,8,53,717
1,8,54,718
1,8,55,733
1,8,56,741
1,8,57,744
1,8,58,745
1,8,59,751
1,8,60,760
1,8,61,764
1,8,62,790
1,8,63,794
1,8,64,796
1,8,65,806
1,8,66,819
1,8,67,835
1,8,68,840
1,8,69,844
1,8,70,853
1,8,71,860
1,8,72,889
1,8,73,890
1,8,74,895
1,8,75,896
1,8,76,909
1,8,77,920
1,8,78,930
1,8,79,970
1,8,80,976
1,8,81,981
1,8,82,1023
1,8,83,1040
1,8,84,1064
1,8,85,1092
1,8,86,1111
1,8,87,1113
1,8,88,1156
1,8,89,1158
1,8,90,1166
1,8,91,1175
1,8,92,1186
1,8,93,1188
1,8,94,1199
1,8,95,1202
1,8,96,1213
1,8,97,1214
1,8,98,1279
1,8,99,1312
1,8,100,1325
1,8,101,1334
1,8,102,1338
1,8,103,1360
1,8,104,1364
1,8,105,1366
1,8,106,1377
1,8,107,1381
1,8,108,1413
1,8,109,1417
1,8,110,1449
1,8,111,1452
1,8,112,1458
1,8,113,1469
1,8,114,1489
1,8,115,1526
1,8,116,1527
1,8,117,1545
1,8,118,1556
1,8,119,1563
1,8,120,1564
1,8,121,1586
1,8,122,1635
1,8,123,1647
1,8,124,1657
1,8,125,1675
1,8,126,1677
1,8,127,1689
1,8,128,1701
1,8,129,1725
1,8,130,1735
1,8,131,1741
1,8,132,1754
1,8,133,1756
1,8,134,1778
1,8,135,1784
1,8,136,1796
1,8,137,1810
1,8,138,1819
1,8,139,1822
1,8,140,1841
1,8,141,1852
1,8,142,1910
1,8,143,1916
1,8,144,1919
1,8,145,1937
1,8,146,1944
1,8,147,1960
1,8,148,1971
1,8,149,1982
1,8,150,1990
2,8,1,58
2,8,2,80
2,8,3,96
2,8,4,110
2,8,5,116
2,8,6,169
2,8,7,185
2,8,8,192
2,8,9,209
2,8,10,227
2,8,11,230
2,8,12,232
2,8,13,236
2,8,14,293
2,8,15,314
2,8,16,319
2,8,17,321
2,8,18,346
