origem,destino,classe,preco
1,2,1,61
1,2,2,82
1,2,3,87
1,2,4,111
1,2,5,118
1,2,6,134
1,2,7,138
1,2,8,142
1,2,9,147
1,2,10,202
1,2,11,208
1,2,12,211
1,2,13,223
1,2,14,229
1,2,15,240
1,2,16,248
1,2,17,252
1,2,18,279
1,2,19,285
1,2,20,293
1,2,21,315
1,2,22,327
1,2,23,328
1,2,24,343
1,2,25,378
1,2,26,384
1,2,27,385
1,2,28,394
1,2,29,410
1,2,30,418
1,2,31,449
1,2,32,450
1,2,33,454
1,2,34,497
1,2,35,498
1,2,36,500
1,2,37,522
1,2,38,529
1,2,39,561
1,2,40,565
1,2,41,589
1,2,42,590
1,2,43,596
1,2,44,601
1,2,45,613
1,2,46,616
1,2,47,647
1,2,48,658
1,2,49,675
1,2,50,682
1,2,51,702
1,2,52,710
1,2,53,733
1,2,54,747
1,2,55,758
1,2,56,765
1,2,57,786
1,2,58,804
1,2,59,813
1,2,60,815
1,2,61,852
1,2,62,866
1,2,63,872
1,2,64,876
1,2,65,886
1,2,66,906
1,2,67,917
1,2,68,923
1,2,69,937
1,2,70,947
1,2,71,957
1,2,72,971
1,2,73,973
1,2,74,986
1,2,75,1011
1,2,76,1012
1,2,77,1030
1,2,78,1042
1,2,79,1045
1,2,80,1048
1,2,81,1053
1,2,82,1067
1,2,83,1070
1,2,84,1080
1,2,85,1092
1,2,86,1105
1,2,87,1138
1,2,88,1169
1,2,89,1180
1,2,90,1199
1,2,91,1238
1,2,92,1255
1,2,93,1260
1,2,94,1303
1,2,95,1314
1,2,96,1356
1,2,97,1359
1,2,98,1371
1,2,99,1379
1,2,100,1382
1,2,101,1397
1,2,102,1409
1,2,103,1425
1,2,104,1437
1,2,105,1443
1,2,106,1450
1,2,107,1466
1,2,108,1467
1,2,109,1482
1,2,110,1489
1,2,111,1493
1,2,112,1498
1,2,113,1508
1,2,114,1528
1,2,115,1530
1,2,116,1555
1,2,117,1561
1,2,118,1584
1,2,119,1594
1,2,120,1599
1,2,121,1610
1,2,122,1616
1,2,123,1626
1,2,124,1630
1,2,125,1635
1,2,126,1655
1,2,127,1666
1,2,128,1683
1,2,129,1693
1,2,130,1694
1,2,131,1714
1,2,132,1715
1,2,133,1732
1,2,134,1752
1,2,135,1761
