origem,destino,classe,preco
1,8,1,86
1,8,2,95
1,8,3,119
1,8,4,134
1,8,5,135
1,8,6,147
1,8,7,173
1,8,8,174
1,8,9,186
1,8,10,196
1,8,11,209
1,8,12,214
1,8,13,228
1,8,14,236
1,8,15,273
1,8,16,285
1,8,17,300
1,8,18,310
1,8,19,327
1,8,20,334
1,8,21,335
1,8,22,343
1,8,23,358
1,8,24,380
1,8,25,386
1,8,26,397
1,8,27,402
1,8,28,404
1,8,29,406
1,8,30,407
1,8,31,416
1,8,32,433
1,8,33,436
1,8,34,440
1,8,35,457
1,8,36,473
1,8,37,483
1,8,38,514
1,8,39,537
1,8,40,538
1,8,41,561
1,8,42,620
1,8,43,631
1,8,44,669
1,8,45,684
1,8,46,694
1,8,47,712
1,8,48,717
1,8,49,762
1,8,50,771
1,8,51,774
1,8,52,775
1,8,53,789
1,8,54,817
1,8,55,841
1,8,56,845
1,8,57,847
1,8,58,862
1,8,59,887
1,8,60,888
1,8,61,898
1,8,62,921
1,8,63,941
1,8,64,970
1,8,65,988
1,8,66,1011
1,8,67,1029
1,8,68,1038
1,8,69,1067
1,8,70,1069
1,8,71,1077
1,8,72,1078
1,8,73,1083
1,8,74,1137
1,8,75,1150
1,8,76,1153
1,8,77,1154
1,8,78,1168
1,8,79,1183
1,8,80,1184
1,8,81,1193
1,8,82,1199
1,8,83,1204
1,8,84,1213
1,8,85,1225
1,8,86,1230
1,8,87,1239
1,8,88,1245
1,8,89,1255
1,8,90,1257
1,8,91,1258
1,8,92,1290
1,8,93,1311
1,8,94,1342
1,8,95,1364
1,8,96,1377
1,8,97,1378
1,8,98,1392
1,8,99,1398
1,8,100,1399
1,8,101,1426
1,8,102,1449
1,8,103,1451
1,8,104,1470
1,8,105,1477
1,8,106,1489
1,8,107,1499
1,8,108,1524
1,8,109,1539
1,8,110,1551
1,8,111,1552
1,8,112,1558
1,8,113,1571
1,8,114,1592
1,8,115,1613
1,8,116,1614
1,8,117,1626
1,8,118,1640
1,8,119,1641
1,8,120,1669
1,8,121,1670
1,8,122,1681
1,8,123,1689
1,8,124,1690
1,8,125,1706
1,8,126,1716
1,8,127,1722
1,8,128,1724
1,8,129,1728
1,8,130,1736
1,8,131,1746
1,8,132,1750
1,8,133,1763
1,8,134,1770
1,8,135,1771
1,8,136,1774
1,8,137,1790
1,8,138,1797
1,8,139,1816
1,8,140,1821
1,8,141,1848
1,8,142,1877
1,8,143,1885
1,8,144,1887
1,8,145,1888
1,8,146,1897
1,8,147,1903
1,8,148,1924
1,8,149,1939
1,8,150,1998
2,8,1,55
2,8,2,57
2,8,3,61
2,8,4,119
2,8,5,129
2,8,6,154
2,8,7,156
2,8,8,163
2,8,9,193
2,8,10,194
2,8,11,197
2,8,12,205
2,8,13,219
2,8,14,222
2,8,15,257
2,8,16,276
2,8,17,280
2,8,18,302
2,8,19,316
2,8,20,321
2,8,21,323
2,8,22,324
2,8,23,343
2,8,24,349
2,8,25,350
2,8,26,371
2,8,27,390
2,8,28,393
2,8,29,414
2,8,30,441
2,8,31,450
2,8,32,485
2,8,33,514
2,8,34,517
2,8,35,528
2,8,36,533
2,8,37,536
2,8,38,549
2,8,39,554
2,8,40,559
2,8,41,562
2,8,42,572
2,8,43,591
2,8,44,596
2,8,45,606
2,8,46,628
2,8,47,638
2,8,48,661
2,8,49,680
2,8,50,701
2,8,51,707
2,8,52,715
2,8,53,719
2,8,54,727
2,8,55,761
2,8,56,771
2,8,57,774
2,8,58,779
2,8,59,798
2,8,60,818
2,8,61,826
2,8,62,829
2,8,63,847
2,8,64,868
2,8,65,877
2,8,66,880
2,8,67,895
2,8,68,897
2,8,69,914
2,8,70,931
2,8,71,934
2,8,72,947
2,8,73,951
2,8,74,953
2,8,75,958
2,8,76,972
2,8,77,980
2,8,78,983
2,8,79,1005
2,8,80,1017
2,8,81,1031
2,8,82,1040
2,8,83,1051
2,8,84,1072
2,8,85,1076
2,8,86,1103
2,8,87,1123
2,8,88,1129
2,8,89,1134
2,8,90,1136
2,8,91,1143
2,8,92,1170
2,8,93,1208
2,8,94,1216
2,8,95,1223
2,8,96,1233
2,8,97,1264
2,8,98,1272
2,8,99,1286
2,8,100,1333
2,8,101,1340
2,8,102,1393
2,8,103,1398
2,8,104,1399
2,8,105,1401
2,8,106,1407
2,8,107,1418
2,8,108,1423
2,8,109,1428
2,8,110,1432
2,8,111,1460
2,8,112,1469
2,8,113,1501
2,8,114,1509
2,8,115,1515
2,8,116,1517
2,8,117,1530
2,8,118,1533
2,8,119,1562
2,8,120,1601
2,8,121,1610
2,8,122,1632
2,8,123,1643
2,8,124,1651
2,8,125,1669
2,8,126,1672
2,8,127,1677
2,8,128,1681
2,8,129,1692
2,8,130,1722
2,8,131,1748
2,8,132,1753
2,8,133,1784
2,8,134,1806
2,8,135,1808
2,8,136,1824
2,8,137,1828
2,8,138,1835
2,8,139,1842
2,8,140,1884
2,8,141,1886
2,8,142,1891
2,8,143,1903
2,8,144,1937
2,8,145,1944
2,8,146,1945
2,8,147,1962
2,8,148,1969
2,8,149,1971
2,8,150,1985
3,8,1,59
3,8,2,73
3,8,3,80
3,8,4,84
3,8,5,88
3,8,6,95
3,8,7,98
3,8,8,109
3,8,9,112
3,8,10,113
3,8,11,119
3,8,12,131
3,8,13,156
3,8,14,182
3,8,15,188
3,8,16,190
3,8,17,191
3,8,18,196
3,8,19,203
3,8,20,204
3,8,21,219
3,8,22,254
3,8,23,275
3,8,24,294
3,8,25,325
3,8,26,327
3,8,27,334
3,8,28,335
3,8,29,369
3,8,30,382
3,8,31,385
3,8,32,387
3,8,33,395
3,8,34,422
3,8,35,435
3,8,36,458
3,8,37,464
3,8,38,495
3,8,39,497
3,8,40,528
3,8,41,537
3,8,42,541
3,8,43,544
3,8,44,545
3,8,45,556
3,8,46,565
3,8,47,571
3,8,48,572
3,8,49,586
3,8,50,602
3,8,51,620
3,8,52,644
3,8,53,660
3,8,54,666
3,8,55,691
3,8,56,696
3,8,57,727
3,8,58,755
3,8,59,762
3,8,60,771
3,8,61,791
3,8,62,801
3,8,63,819
3,8,64,840
3,8,65,843
3,8,66,860
3,8,67,875
3,8,68,876
3,8,69,897
3,8,70,899
3,8,71,920
3,8,72,939
3,8,73,944
3,8,74,946
3,8,75,968
3,8,76,970
3,8,77,977
3,8,78,983
3,8,79,1000
3,8,80,1012
3,8,81,1027
3,8,82,1032
3,8,83,1075
3,8,84,1111
3,8,85,1118
3,8,86,1154
3,8,87,1165
3,8,88,1169
3,8,89,1170
3,8,90,1182
3,8,91,1187
3,8,92,1196
3,8,93,1207
3,8,94,1241
3,8,95,1257
3,8,96,1275
3,8,97,1281
3,8,98,1284
3,8,99,1302
3,8,100,1379
3,8,101,1384
3,8,102,1398
3,8,103,1427
3,8,104,1442
3,8,105,1457
3,8,106,1466
3,8,107,1467
3,8,108,1473
3,8,109,1481
3,8,110,1516
3,8,111,1517
3,8,112,1539
3,8,113,1545
3,8,114,1557
3,8,115,1558
3,8,116,1578
3,8,117,1580
3,8,118,1599
3,8,119,1601
3,8,120,1604
3,8,121,1608
3,8,122,1610
3,8,123,1614
3,8,124,1615
3,8,125,1617
3,8,126,1638
3,8,127,1647
3,8,128,1668
3,8,129,1677
3,8,130,1681
3,8,131,1685
3,8,132,1687
3,8,133,1688
3,8,134,1695
3,8,135,1709
3,8,136,1738
3,8,137,1831
3,8,138,1848
3,8,139,1861
3,8,140,1864
3,8,141,1869
3,8,142,1872
3,8,143,1875
3,8,144,1884
3,8,145,1900
3,8,146,1907
3,8,147,1915
3,8,148,1931
3,8,149,1961
3,8,150,1994
4,8,1,72
4,8,2,82
4,8,3,111
4,8,4,116
4,8,5,128
4,8,6,131
4,8,7,133
4,8,8,137
4,8,9,163
4,8,10,199
4,8,11,202
4,8,12,230
4,8,13,322
4,8,14,328
4,8,15,332
4,8,16,333
4,8,17,349
4,8,18,352
4,8,19,365
4,8,20,390
4,8,21,422
4,8,22,437
4,8,23,451
4,8,24,469
4,8,25,475
4,8,26,491
4,8,27,517
4,8,28,526
4,8,29,534
4,8,30,547
4,8,31,562
4,8,32,567
4,8,33,589
4,8,34,592
4,8,35,613
4,8,36,614
4,8,37,658
4,8,38,662
4,8,39,692
4,8,40,697
4,8,41,705
4,8,42,713
4,8,43,731
4,8,44,754
4,8,45,759
4,8,46,774
4,8,47,777
4,8,48,800
4,8,49,807
4,8,50,846
4,8,51,847
4,8,52,848
4,8,53,860
4,8,54,882
4,8,55,893
4,8,56,894
4,8,57,903
4,8,58,906
4,8,59,919
4,8,60,926
4,8,61,954
4,8,62,965
4,8,63,983
4,8,64,998
4,8,65,1003
4,8,66,1004
4,8,67,1025
4,8,68,1032
4,8,69,1061
4,8,70,1076
4,8,71,1077
4,8,72,1083
4,8,73,1104
4,8,74,1109
4,8,75,1122
4,8,76,1134
4,8,77,1135
4,8,78,1144
4,8,79,1147
4,8,80,1158
4,8,81,1183
4,8,82,1195
4,8,83,1205
4,8,84,1206
4,8,85,1218
4,8,86,1246
4,8,87,1284
4,8,88,1290
4,8,89,1301
4,8,90,1303
4,8,91,1319
4,8,92,1324
4,8,93,1336
4,8,94,1374
4,8,95,1379
4,8,96,1388
4,8,97,1393
4,8,98,1415
4,8,99,1425
4,8,100,1440
4,8,101,1472
4,8,102,1476
4,8,103,1482
4,8,104,1484
4,8,105,1489
4,8,106,1491
4,8,107,1499
4,8,108,1520
4,8,109,1551
4,8,110,1579
4,8,111,1601
4,8,112,1616
4,8,113,1624
4,8,114,1626
4,8,115,1629
4,8,116,1641
4,8,117,1642
4,8,118,1646
4,8,119,1648
4,8,120,1654
4,8,121,1677
4,8,122,1712
4,8,123,1718
4,8,124,1721
4,8,125,1727
4,8,126,1734
4,8,127,1741
4,8,128,1750
4,8,129,1760
4,8,130,1777
4,8,131,1778
4,8,132,1800
4,8,133,1806
4,8,134,1826
4,8,135,1874
4,8,136,1877
4,8,137,1878
4,8,138,1901
4,8,139,1905
4,8,140,1908
4,8,141,1916
4,8,142,1924
4,8,143,1928
4,8,144,1946
4,8,145,1951
4,8,146,1952
4,8,147,1955
4,8,148,1980
4,8,149,1983
4,8,150,1987
5,8,1,84
5,8,2,100
5,8,3,103
5,8,4,114
5,8,5,117
5,8,6,135
5,8,7,140
5,8,8,146
5,8,9,165
5,8,10,174
5,8,11,180
5,8,12,193
5,8,13,200
5,8,14,205
5,8,15,206
5,8,16,224
5,8,17,226
5,8,18,232
5,8,19,244
5,8,20,246
5,8,21,255
5,8,22,260
5,8,23,270
5,8,24,282
5,8,25,296
5,8,26,312
5,8,27,330
5,8,28,332
5,8,29,333
5,8,30,340
5,8,31,347
5,8,32,350
5,8,33,356
5,8,34,427
5,8,35,428
5,8,36,459
5,8,37,460
5,8,38,473
5,8,39,511
5,8,40,533
5,8,41,549
5,8,42,554
5,8,43,565
5,8,44,588
5,8,45,592
5,8,46,594
5,8,47,630
5,8,48,639
5,8,49,660
5,8,50,663
5,8,51,675
5,8,52,676
5,8,53,681
5,8,54,687
5,8,55,701
5,8,56,732
5,8,57,762
5,8,58,783
5,8,59,800
5,8,60,812
5,8,61,814
5,8,62,816
5,8,63,822
5,8,64,886
5,8,65,898
5,8,66,908
5,8,67,911
5,8,68,917
5,8,69,926
5,8,70,927
5,8,71,937
5,8,72,972
5,8,73,973
5,8,74,981
5,8,75,995
5,8,76,1001
5,8,77,1003
5,8,78,1027
5,8,79,1039
5,8,80,1044
5,8,81,1045
5,8,82,1050
5,8,83,1052
5,8,84,1064
5,8,85,1083
5,8,86,1151
5,8,87,1167
5,8,88,1174
5,8,89,1178
5,8,90,1188
5,8,91,1215
5,8,92,1217
5,8,93,1241
5,8,94,1266
5,8,95,1268
5,8,96,1296
5,8,97,1334
5,8,98,1339
5,8,99,1345
5,8,100,1352
5,8,101,1361
5,8,102,1364
5,8,103,1382
5,8,104,1387
5,8,105,1419
5,8,106,1443
5,8,107,1444
5,8,108,1505
5,8,109,1507
5,8,110,1517
5,8,111,1524
5,8,112,1526
5,8,113,1538
5,8,114,1544
5,8,115,1546
5,8,116,1561
5,8,117,1583
5,8,118,1627
5,8,119,1639
5,8,120,1655
5,8,121,1662
5,8,122,1664
5,8,123,1693
5,8,124,1710
5,8,125,1717
5,8,126,1738
5,8,127,1740
5,8,128,1744
5,8,129,1748
5,8,130,1762
5,8,131,1780
5,8,132,1788
5,8,133,1789
5,8,134,1804
5,8,135,1822
5,8,136,1830
5,8,137,1859
5,8,138,1891
5,8,139,1901
5,8,140,1919
5,8,141,1923
5,8,142,1942
5,8,143,1948
5,8,144,1957
5,8,145,1963
5,8,146,1979
5,8,147,1984
5,8,148,1987
5,8,149,1995
5,8,150,2000
6,8,1,65
6,8,2,75
6,8,3,98
6,8,4,143
6,8,5,211
6,8,6,213
6,8,7,216
6,8,8,220
6,8,9,221
6,8,10,246
6,8,11,258
6,8,12,265
6,8,13,268
6,8,14,291
6,8,15,298
6,8,16,302
6,8,17,306
6,8,18,307
6,8,19,321
6,8,20,332
6,8,21,346
6,8,22,355
6,8,23,371
6,8,24,383
6,8,25,384
6,8,26,385
6,8,27,387
6,8,28,389
6,8,29,394
6,8,30,397
6,8,31,426
6,8,32,450
6,8,33,463
6,8,34,499
6,8,35,500
6,8,36,514
6,8,37,519
6,8,38,544
6,8,39,549
6,8,40,584
6,8,41,589
6,8,42,619
6,8,43,650
6,8,44,675
6,8,45,678
6,8,46,695
6,8,47,696
6,8,48,698
6,8,49,709
6,8,50,713
6,8,51,717
6,8,52,729
6,8,53,734
6,8,54,755
6,8,55,766
6,8,56,767
6,8,57,774
6,8,58,792
6,8,59,797
6,8,60,828
6,8,61,844
6,8,62,848
6,8,63,904
6,8,64,906
6,8,65,916
6,8,66,934
6,8,67,963
6,8,68,966
6,8,69,989
6,8,70,1003
6,8,71,1006
6,8,72,1019
6,8,73,1020
6,8,74,1036
6,8,75,1037
6,8,76,1044
6,8,77,1047
6,8,78,1070
6,8,79,1083
6,8,80,1103
6,8,81,1142
6,8,82,1152
6,8,83,1163
6,8,84,1174
6,8,85,1186
6,8,86,1189
6,8,87,1201
6,8,88,1204
6,8,89,1209
6,8,90,1243
6,8,91,1260
6,8,92,1262
6,8,93,1269
6,8,94,1275
6,8,95,1278
6,8,96,1286
6,8,97,1299
6,8,98,1316
6,8,99,1321
6,8,100,1323
6,8,101,1360
6,8,102,1361
6,8,103,1364
6,8,104,1365
6,8,105,1370
6,8,106,1383
6,8,107,1389
6,8,108,1429
6,8,109,1431
6,8,110,1439
6,8,111,1488
6,8,112,1489
6,8,113,1519
6,8,114,1522
6,8,115,1531
6,8,116,1545
6,8,117,1577
6,8,118,1594
6,8,119,1603
6,8,120,1607
6,8,121,1611
6,8,122,1627
6,8,123,1632
6,8,124,1651
6,8,125,1660
6,8,126,1719
6,8,127,1737
6,8,128,1739
6,8,129,1754
6,8,130,1776
6,8,131,1777
6,8,132,1807
6,8,133,1811
6,8,134,1818
6,8,135,1825
6,8,136,1835
6,8,137,1857
6,8,138,1859
6,8,139,1883
6,8,140,1893
6,8,141,1900
6,8,142,1903
6,8,143,1915
6,8,144,1935
6,8,145,1947
6,8,146,1962
6,8,147,1975
6,8,148,1981
6,8,149,1987
6,8,150,1998
7,8,1,50
7,8,2,83
7,8,3,86
7,8,4,116
7,8,5,127
7,8,6,139
7,8,7,149
7,8,8,159
7,8,9,161
7,8,10,189
7,8,11,230
7,8,12,246
7,8,13,273
7,8,14,282
7,8,15,329
7,8,16,330
7,8,17,366
7,8,18,368
7,8,19,372
7,8,20,383
7,8,21,439
7,8,22,468
7,8,23,482
7,8,24,493
7,8,25,515
7,8,26,522
7,8,27,527
7,8,28,530
7,8,29,534
7,8,30,545
7,8,31,556
7,8,32,562
7,8,33,568
7,8,34,577
7,8,35,605
7,8,36,635
7,8,37,637
7,8,38,643
7,8,39,646
7,8,40,655
7,8,41,656
7,8,42,664
7,8,43,671
7,8,44,683
7,8,45,694
7,8,46,709
7,8,47,754
7,8,48,757
7,8,49,764
7,8,50,808
7,8,51,829
7,8,52,837
7,8,53,841
7,8,54,842
7,8,55,851
7,8,56,856
7,8,57,857
7,8,58,859
7,8,59,860
7,8,60,864
7,8,61,889
7,8,62,955
7,8,63,976
7,8,64,989
7,8,65,995
7,8,66,997
7,8,67,1004
7,8,68,1017
7,8,69,1031
7,8,70,1039
7,8,71,1041
7,8,72,1042
7,8,73,1076
7,8,74,1087
7,8,75,1106
7,8,76,1118
7,8,77,1166
7,8,78,1173
7,8,79,1178
7,8,80,1181
7,8,81,1182
7,8,82,1191
7,8,83,1196
7,8,84,1203
7,8,85,1226
7,8,86,1251
7,8,87,1253
7,8,88,1262
7,8,89,1280
7,8,90,1285
7,8,91,1302
7,8,92,1314
7,8,93,1348
7,8,94,1352
7,8,95,1357
7,8,96,1362
7,8,97,1365
7,8,98,1376
7,8,99,1400
7,8,100,1402
7,8,101,1406
7,8,102,1428
7,8,103,1432
7,8,104,1433
7,8,105,1445
7,8,106,1469
7,8,107,1485
7,8,108,1496
7,8,109,1514
7,8,110,1537
7,8,111,1540
7,8,112,1549
7,8,113,1589
7,8,114,1594
7,8,115,1607
7,8,116,1609
7,8,117,1614
7,8,118,1643
7,8,119,1647
7,8,120,1675
7,8,121,1686
7,8,122,1702
7,8,123,1709
7,8,124,1713
7,8,125,1714
7,8,126,1716
7,8,127,1746
7,8,128,1752
7,8,129,1758
7,8,130,1759
7,8,131,1764
7,8,132,1801
7,8,133,1815
7,8,134,1824
7,8,135,1833
7,8,136,1835
7,8,137,1848
7,8,138,1851
7,8,139,1876
7,8,140,1890
7,8,141,1913
7,8,142,1920
7,8,143,1939
7,8,144,1952
7,8,145,1959
7,8,146,1961
7,8,147,1964
7,8,148,1972
7,8,149,1975
7,8,150,1979
1,9,1,51
1,9,2,73
1,9,3,98
1,9,4,116
1,9,5,125
1,9,6,158
1,9,7,167
1,9,8,172
1,9,9,187
1,9,10,205
1,9,11,226
1,9,12,238
1,9,13,243
1,9,14,259
1,9,15,288
1,9,16,293
1,9,17,296
1,9,18,339
1,9,19,369
1,9,20,382
1,9,21,393
1,9,22,426
1,9,23,449
1,9,24,477
1,9,25,503
1,9,26,522
1,9,27,526
1,9,28,533
1,9,29,534
1,9,30,538
1,9,31,540
1,9,32,545
1,9,33,550
1,9,34,557
1,9,35,567
1,9,36,579
1,9,37,617
1,9,38,618
1,9,39,635
1,9,40,639
1,9,41,649
1,9,42,653
1,9,43,658
1,9,44,709
1,9,45,718
1,9,46,721
1,9,47,769
1,9,48,772
1,9,49,779
1,9,50,780
1,9,51,790
1,9,52,805
1,9,53,814
1,9,54,833
1,9,55,847
1,9,56,860
1,9,57,863
1,9,58,880
1,9,59,927
1,9,60,936
1,9,61,960
1,9,62,984
1,9,63,991
1,9,64,996
1,9,65,1004
1,9,66,1010
1,9,67,1022
1,9,68,1037
1,9,69,1042
1,9,70,1053
1,9,71,1065
1,9,72,1077
1,9,73,1084
1,9,74,1091
1,9,75,1122
1,9,76,1157
1,9,77,1172
1,9,78,1175
1,9,79,1183
1,9,80,1192
1,9,81,1197
1,9,82,1205
1,9,83,1213
1,9,84,1223
1,9,85,1226
1,9,86,1237
1,9,87,1238
1,9,88,1268
1,9,89,1275
1,9,90,1284
1,9,91,1294
1,9,92,1311
1,9,93,1312
1,9,94,1330
1,9,95,1348
1,9,96,1377
1,9,97,1386
1,9,98,1398
1,9,99,1412
1,9,100,1454
1,9,101,1457
1,9,102,1467
1,9,103,1512
1,9,104,1521
1,9,105,1525
1,9,106,1535
1,9,107,1540
1,9,108,1541
1,9,109,1567
1,9,110,1570
1,9,111,1573
1,9,112,1585
1,9,113,1587
1,9,114,1598
1,9,115,1613
1,9,116,1634
1,9,117,1635
1,9,118,1655
1,9,119,1659
1,9,120,1664
1,9,121,1673
1,9,122,1676
1,9,123,1690
1,9,124,1699
1,9,125,1718
1,9,126,1725
1,9,127,1728
1,9,128,1738
1,9,129,1746
1,9,130,1747
1,9,131,1758
1,9,132,1760
1,9,133,1804
1,9,134,1805
1,9,135,1807
1,9,136,1810
1,9,137,1823
1,9,138,1847
1,9,139,1853
1,9,140,1872
1,9,141,1882
1,9,142,1894
1,9,143,1900
1,9,144,1910
1,9,145,1924
1,9,146,1929
1,9,147,1931
1,9,148,1979
1,9,149,1985
1,9,150,1996
2,9,1,65
2,9,2,67
2,9,3,90
2,9,4,113
2,9,5,116
2,9,6,130
2,9,7,145
2,9,8,150
2,9,9,197
2,9,10,212
2,9,11,213
2,9,12,240
2,9,13,247
2,9,14,271
2,9,15,279
2,9,16,286
2,9,17,299
2,9,18,324
2,9,19,331
2,9,20,335
2,9,21,348
2,9,22,356
2,9,23,360
2,9,24,375
2,9,25,393
2,9,26,404
2,9,27,405
2,9,28,415
2,9,29,435
2,9,30,448
2,9,31,461
2,9,32,462
2,9,33,549
2,9,34,573
2,9,35,582
2,9,36,584
2,9,37,593
2,9,38,622
2,9,39,625
2,9,40,631
2,9,41,644
2,9,42,651
2,9,43,653
2,9,44,658
2,9,45,677
2,9,46,686
2,9,47,698
2,9,48,721
2,9,49,764
2,9,50,786
2,9,51,798
2,9,52,806
2,9,53,816
2,9,54,823
2,9,55,845
2,9,56,849
2,9,57,860
2,9,58,870
2,9,59,871
2,9,60,874
2,9,61,875
2,9,62,887
2,9,63,902
2,9,64,909
2,9,65,912
2,9,66,928
2,9,67,933
2,9,68,944
2,9,69,965
2,9,70,990
2,9,71,1005
2,9,72,1014
2,9,73,1020
2,9,74,1040
2,9,75,1045
2,9,76,1047
2,9,77,1048
2,9,78,1049
2,9,79,1057
2,9,80,1064
2,9,81,1078
2,9,82,1106
2,9,83,1107
2,9,84,1114
2,9,85,1131
2,9,86,1142
2,9,87,1153
2,9,88,1183
2,9,89,1185
2,9,90,1189
2,9,91,1215
2,9,92,1227
2,9,93,1254
2,9,94,1267
2,9,95,1284
2,9,96,1311
2,9,97,1312
2,9,98,1323
2,9,99,1329
2,9,100,1337
2,9,101,1360
2,9,102,1362
2,9,103,1369
2,9,104,1386
2,9,105,1400
2,9,106,1406
2,9,107,1411
2,9,108,1430
2,9,109,1440
2,9,110,1458
2,9,111,1460
2,9,112,1464
2,9,113,1465
2,9,114,1504
2,9,115,1506
2,9,116,1526
2,9,117,1531
2,9,118,1537
2,9,119,1549
2,9,120,1550
2,9,121,1595
2,9,122,1599
2,9,123,1600
2,9,124,1626
2,9,125,1630
2,9,126,1641
2,9,127,1647
2,9,128,1650
2,9,129,1666
2,9,130,1679
2,9,131,1706
2,9,132,1757
2,9,133,1769
2,9,134,1781
2,9,135,1788
2,9,136,1795
2,9,137,1806
2,9,138,1808
2,9,139,1827
2,9,140,1838
2,9,141,1857
2,9,142,1864
2,9,143,1878
2,9,144,1901
2,9,145,1921
2,9,146,1939
2,9,147,1959
2,9,148,1973
2,9,149,1975
2,9,150,1996
3,9,1,66
3,9,2,78
3,9,3,83
3,9,4,121
3,9,5,129
3,9,6,158
3,9,7,162
3,9,8,202
3,9,9,207
3,9,10,208
3,9,11,213
3,9,12,223
3,9,13,244
3,9,14,254
3,9,15,278
3,9,16,281
3,9,17,290
3,9,18,305
3,9,19,324
3,9,20,346
3,9,21,361
3,9,22,365
3,9,23,392
3,9,24,394
3,9,25,396
3,9,26,436
3,9,27,465
3,9,28,474
3,9,29,478
3,9,30,486
3,9,31,493
3,9,32,496
3,9,33,517
3,9,34,543
3,9,35,546
3,9,36,547
3,9,37,554
3,9,38,556
3,9,39,564
3,9,40,578
3,9,41,613
3,9,42,622
3,9,43,626
3,9,44,652
3,9,45,657
3,9,46,659
3,9,47,673
3,9,48,675
3,9,49,699
3,9,50,700
3,9,51,705
3,9,52,732
3,9,53,740
3,9,54,741
3,9,55,800
3,9,56,812
3,9,57,813
3,9,58,819
3,9,59,835
3,9,60,836
3,9,61,843
3,9,62,844
3,9,63,854
3,9,64,870
3,9,65,904
3,9,66,920
3,9,67,955
3,9,68,961
3,9,69,971
3,9,70,979
3,9,71,993
3,9,72,994
3,9,73,995
3,9,74,1021
3,9,75,1028
3,9,76,1037
3,9,77,1039
3,9,78,1075
3,9,79,1082
3,9,80,1090
3,9,81,1093
3,9,82,1094
3,9,83,1103
3,9,84,1104
3,9,85,1127
3,9,86,1170
3,9,87,1181
3,9,88,1201
3,9,89,1216
3,9,90,1224
3,9,91,1230
3,9,92,1243
3,9,93,1251
3,9,94,1253
3,9,95,1255
3,9,96,1262
3,9,97,1271
3,9,98,1277
3,9,99,1278
3,9,100,1285
3,9,101,1286
3,9,102,1290
3,9,103,1300
3,9,104,1301
3,9,105,1305
3,9,106,1307
3,9,107,1317
3,9,108,1337
3,9,109,1342
3,9,110,1343
3,9,111,1348
3,9,112,1357
3,9,113,1374
3,9,114,1408
3,9,115,1423
3,9,116,1435
3,9,117,1454
3,9,118,1463
3,9,119,1483
3,9,120,1499
3,9,121,1510
3,9,122,1514
3,9,123,1515
3,9,124,1542
3,9,125,1570
3,9,126,1574
3,9,127,1616
3,9,128,1640
3,9,129,1659
3,9,130,1667
3,9,131,1708
3,9,132,1723
3,9,133,1748
3,9,134,1753
3,9,135,1777
3,9,136,1780
3,9,137,1781
3,9,138,1793
3,9,139,1799
3,9,140,1808
3,9,141,1855
